id,name
1,Street
2,Car
3,Springfield Elementary School
4,Auditorium
5,Simpson Home
6,KITCHEN
7,SHOPPING MALL PARKING LOT
8,Springfield Mall
9,The Happy Sailor Tattoo Parlor
10,Springfield Nuclear Power Plant
11,PLANT
12,DERMATOLOGY CLINIC
13,Laboratory
14,Circus of Values
15,Moe's Tavern
16,Santa School
17,Santa's Workshop
18,WORKSHOP
19,PERSONNEL OFFICE
20,Springfield Downs Dog Track
21,SPRINGFIELD DOWNS
22,PADDOCK
23,SPRINGFIELD DOWN
24,SPRINGFIELD DOWNS PARKING LOT
25,Simpson Living Room
26,Springfield Elementary School Playground
27,CLASSROOM
28,Skinner's Office
29,Homer's Car
30,NEW SCHOOL
31,Opera House
32,OLD SCHOOL
33,NEW CLASSROOM
34,SCHOOL BUILDING
35,Simpson Back Porch
36,Bus
37,Road
38,Conference Room
39,COFFEE ROOM
40,Bar
41,Berger's Burgers
42,REFRIGERATOR
43,Bart's Bedroom
44,Simpson Backyard
45,Simpson Neighborhood
46,Master Bedroom
47,LIVING ROOM
48,Springfield Town Hall
49,CITY COUNCIL CHAMBERS
50,Park
51,Burns's Office
52,A BUMPY DIRT ROAD
53,Burns Manor
54,ANOTHER PART OF THE ROAD
55,Burns's Back Yard
56,NURSERY
57,Backyard
58,DIRT ROAD
59,Simpson Dining Room
60,NEIGHBOR #1'S HOUSE
61,WILLIAMS' HOUSE
62,WILLIAMS DEN
63,WILLIAMS' LAWN
64,Another House
65,PAWN SHOP
66,Family Therapy Center
67,Dr. Monroe's Office
68,DR. MONROE'S LABORATORY
69,Waiting Room
70,STREET NEIGHBOR #2'S HOUSE
71,School Bus
72,NEAR SCHOOL ENTRANCE
73,PLAYGROUND
74,ROOM
75,STAIRCASE
76,Springfield Elementary School Hallway
77,Springfield Elementary School Cafeteria
78,MORTUARY
79,Springfield Retirement Castle
80,Grampa's Room at Springfield Retirement Castle
81,Outside Herman's Military Antiques
82,Herman's Military Antiques
83,Bart's Class In School
84,Bart's Treehouse
85,CITY PARK
86,ANOTHER NEIGHBORHOOD STREET
87,NEIGHBORHOOD STREET
88,PARADING DOWN ELM STREET
89,Base Of Tree Below Bart's Treehouse
90,Springfield Library
91,Simpson Bathroom
92,Bathroom
93,DEN
94,FOYER
95,Music Class
96,LUNCHROOM
97,EXERCISE ROOM
98,Lisa's Bedroom
99,Bridge
100,Simpson Master Bedroom
101,Noiseland Arcade
102,Marge's Car
103,Springfield Elementary School Yard
104,JAZZ HOLE NIGHTCLUB
105,Simpson Front Yard
